"","doc_id","participant","economy_type","reconstructed_chars"
"1",1926,"Rexel Group","Advanced","rent fee share capital register office world version universal registration document file capacity competent authority application provision regulation prior approval accordance article regulation version universal registration document purpose public offering security trade market supplement security note applicable summary supplement entire package approve accordance regulation document free translation original document prepare matter interpretation view opinion express original language docu"
"2",1974,"SODEXO IBERIA S.A","Advanced","woe version registration document quality life service enhance moment touch daily life ensure positive impact health city planet group remain committed mission improve quality life serve community operate fuel energy member develop country expect average population growth represent world population rapid offer solution adapt increase city create world increase mobility employee economic social challenge strong position generate global develop country emerge middle class technology strong experti"
"3",325,"Ascom Holding AG","Advanced","annual report global solution provider mobile work flow solution vision close digital information gap allow good possible decision mission provide mission critical real time solution mobile time sensitive ment use unique product solution software capability integration solution improve healthcare industry retail sector share average annual share price dividend yield proposal annual general meeting share information share price market value share price performance order revenue net segment wee pe"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",1329,"Komatsu Ltd.","Advanced","tee eat day wee enhance quality life special feature business model characteristic initiative base tcfd framework initiative develop people operation grow society flexible global production procurement system social contribution activity business segment corporate governance growth strategy corporate profile message director audit supervisory member message year summary special feature value creation story non financial highlight external evaluation index inclusion machinery business corporate i"
"6",2141,"Sumitomo Riko Company Limited","Advanced","com eye global excellent manufacture company table content link corporate governance message outside director financial policy new financial strategy management investment growth review fiscal financial information long term trend performance indicator fiscal detail website aim create value page new value future life product company structure development investor relation company policy contact information period cover report sustainability project corporate planning department fiscal report ref"
"7",2156,"Svenska Handelsbanken AB (publ)","Advanced","found bank branch network way work strong local presence long term approach customer relation goal well profitability average peer competitor home market achieve goal have satisfied customer low cost found satisfied customer branch home market home market conversation ceo head sustainability sustainable development goal manager group mutual fund bank concept working woman volume manage method material sustainability topic bank customer sustainability criterion bank role community responsible fin"
"8",1580,"Movestic Livforsakring AB","Advanced","sustainability digital development enable new way work simple transparent way enable customer great transparency product opportunity build advisory service available sure service people access independent advice free conflict sustainable society responsibility rest itis responsibility monitor area company focus pension conflict interest arise cover life health contribute focus individual involve focus employee sustainable development create condition require long individual perspective point mov"
"9",2053,"SharePower Responsible Investing, Inc.","Advanced","responsible invest die lie pee ale advisor register principal connect advisor responsible invest communication progress disclosure contact info responsible invest national office main investing involve risk include loss principal different type investment carry vary degree risk client prepare bear investment original principal loss investing include responsible investing guarantee success document recommendation buy sell security information contain sufficient investment decision buy sell securi"
"10",2355,"Viatris","Advanced","global social responsibility report commit set reliability service habit right impact future global leadership wee set see bet table content introduction area impact industry trade approval employee engagement survey association pilot implementation issue global public health workshop country employee announce global partnership alliance set performance objective increase access treatment low middle income country net sale segment net sale product type rest market grow renewable world brand cons"
